valor,area_primer_piso,existe_segundo_piso,area_patio,dist_metro,dist_parque
166666.66666666666,91.79,0,26.14,2.644,6.778
92592.59259259258,71.72,1,20.4,6.618,14.025
125925.92592592591,100.34,0,30.1,2.668,9.37
142500.0,111.39,0,33.42,2.296,14.731
167592.59259259258,147.34,0,37.96,1.501,6.611
78240.74074074073,48.31,0,14.49,1.986,4.647
118518.51851851851,89.0,0,30.04,1.529,10.949
80555.55555555555,78.04,0,18.73,4.858,10.381
143518.5185185185,61.32,1,18.39,2.818,1.998
138888.88888888888,97.83,0,28.09,4.663,6.468
209259.25925925924,112.97,1,25.75,1.308,4.8
225925.9259259259,94.95,1,27.65,1.587,4.798
139583.3333333333,123.28,0,29.63,4.756,5.263
203703.70370370368,120.4,0,35.31,0.973,14.114
166666.66666666666,159.89,0,40.72,3.171,14.891
161111.1111111111,156.26,0,36.34,1.486,8.818
132407.4074074074,112.78,0,33.84,3.138,4.248
158333.3333333333,182.0,0,53.15,1.761,1.136
212962.96296296295,93.27,1,27.98,0.883,2.12
214351.85185185182,86.21,1,25.86,1.693,5.172
106481.48148148147,80.27,0,24.08,6.426,9.999
240740.74074074073,161.09,0,48.33,1.55,9.769
153703.7037037037,84.54,1,25.36,3.53,14.56
188888.88888888888,139.45,0,41.53,1.872,12.495
115740.74074074073,160.54,0,48.16,3.846,0.135
120370.37037037036,90.12,1,27.03,1.818,10.433
97222.22222222222,81.29,0,19.93,4.079,7.221
206018.5185185185,82.13,1,24.64,1.73,11.195
130555.55555555555,100.34,0,30.1,1.201,3.58
106481.48148148147,83.24,1,24.97,3.623,14.671
112962.96296296295,90.02,0,27.01,4.99,1.32
344816.6666666666,158.86,0,47.66,0.825,9.647
175925.92592592593,101.91,1,22.99,2.157,5.935
217592.59259259258,116.31,0,44.65,2.276,12.21
115740.74074074073,111.48,0,33.45,1.682,3.011
73148.14814814815,53.14,1,15.94,1.837,14.673
101388.88888888888,96.62,0,0.0,3.676,1.045
249537.03703703702,71.91,1,21.57,0.794,11.293
236018.5185185185,92.07,1,27.62,1.23,10.849
296296.2962962963,129.32,1,38.8,1.22,8.103
150462.96296296295,114.46,0,34.34,1.606,3.443
381944.44444444444,146.04,1,43.81,0.389,6.35
203703.70370370368,143.16,0,42.95,1.229,7.253
95555.55555555555,81.94,0,24.58,7.716,3.976
140740.74074074073,106.75,1,32.02,2.789,3.254
118055.55555555555,75.07,1,17.95,3.142,12.794
175925.92592592593,173.45,0,45.07,3.476,8.694
301503.7037037037,149.57,1,44.09,0.834,4.791
169907.4074074074,78.04,1,23.41,1.214,9.756
211111.1111111111,158.59,0,46.99,0.566,9.861
118981.48148148147,79.34,0,20.07,4.871,10.272
199074.07407407407,153.85,0,30.1,2.357,9.184
221296.2962962963,98.85,1,29.65,1.473,9.181
150925.92592592593,126.53,0,37.96,2.677,2.555
170370.37037037036,153.38,0,44.76,2.711,5.211
224999.99999999997,200.48,0,33.5,1.786,13.085
195370.37037037036,108.14,1,32.08,1.645,9.107
159722.22222222222,116.31,1,29.32,3.862,4.123
464663.8888888889,207.55,0,61.76,0.327,6.509
92592.59259259258,89.93,0,26.98,3.934,7.418
163888.88888888888,71.44,1,21.07,2.594,10.916
185277.77777777775,83.71,1,22.1,1.673,13.05
111111.11111111111,124.49,0,0.0,4.968,12.262
185185.18518518517,126.53,1,37.96,1.098,1.653
117592.59259259258,86.96,1,14.05,3.805,2.162
439814.8148148148,141.03,1,30.85,0.134,12.06
160185.18518518517,113.06,0,33.11,1.862,3.16
124999.99999999999,75.07,1,18.39,3.497,2.487
141978.7037037037,113.71,0,30.27,3.38,10.177
264814.8148148148,147.99,0,44.4,0.724,9.754
291666.6666666666,143.91,1,23.77,0.711,2.337
170370.37037037036,67.35,1,20.21,1.279,8.933
177777.77777777775,132.94,0,39.88,1.25,14.526
120370.37037037036,90.12,1,27.03,1.923,2.967
117592.59259259258,80.27,0,24.08,3.886,11.626
137500.0,79.43,1,23.83,2.792,9.179
288770.37037037034,160.35,0,48.11,1.55,3.383
217592.59259259258,126.35,1,37.9,0.525,14.85
96296.29629629629,86.31,1,21.04,2.999,11.314
254537.03703703702,159.14,0,47.74,0.918,6.312
129629.62962962962,104.14,0,31.24,7.907,13.438
158796.2962962963,118.82,0,33.33,2.89,2.458
103703.7037037037,80.36,1,17.2,2.773,14.501
137962.96296296295,78.78,0,23.63,1.749,12.794
101851.85185185184,66.89,1,20.07,3.971,2.624
167129.6296296296,133.97,0,39.69,1.214,13.815
133240.74074074073,157.56,0,31.77,3.802,0.178
130555.55555555555,102.19,0,30.66,5.176,13.805
256481.48148148146,109.63,1,32.25,1.379,4.941
134259.25925925924,101.45,0,30.44,2.978,11.338
90740.74074074073,80.27,0,24.08,3.53,11.916
172222.22222222222,112.6,0,33.78,2.676,5.876
233961.1111111111,86.59,1,25.08,1.455,1.49
144444.44444444444,91.97,0,27.59,3.846,1.199
149768.5185185185,64.01,1,19.2,2.936,8.093
124490.74074074073,114.83,0,29.82,4.991,8.672
194444.44444444444,133.41,0,40.02,1.556,2.75
99074.07407407407,75.25,1,19.12,7.155,9.833
288425.9259259259,105.63,1,22.24,1.155,1.73
154851.85185185185,115.94,0,34.78,1.297,7.693
189722.22222222222,139.17,0,41.75,1.969,8.149
185185.18518518517,93.83,1,28.15,2.369,3.85
166574.07407407407,75.34,1,19.87,2.313,1.571
89814.8148148148,80.27,0,24.08,7.244,13.642
357638.8888888889,222.22,0,66.67,0.106,12.934
103703.7037037037,58.53,1,17.56,4.168,9.234
268518.5185185185,112.78,1,33.53,1.503,1.411
98148.14814814815,44.87,1,13.46,2.779,8.355
115740.74074074073,84.73,0,25.42,3.315,11.926
178240.74074074073,144.46,0,38.27,1.961,11.739
137037.03703703702,110.93,0,33.28,1.62,10.639
373148.14814814815,138.43,1,40.75,0.593,1.554
87500.0,44.87,1,13.46,2.393,9.097
118703.7037037037,83.06,0,24.92,4.35,4.257
200462.96296296295,79.9,1,23.97,1.853,14.811
82870.37037037036,44.87,1,13.46,1.68,1.153
171759.25925925924,131.36,0,39.41,1.89,4.118
180092.59259259258,94.2,1,27.76,1.246,0.464
294444.44444444444,157.38,0,47.21,0.797,2.681
104629.62962962962,74.14,1,20.49,2.429,5.201
243055.55555555553,145.49,0,43.65,0.71,5.29
102314.8148148148,80.45,0,19.12,4.167,13.343
73148.14814814815,82.59,1,15.05,4.046,10.747
111111.11111111111,58.16,1,17.45,2.902,14.075
189814.8148148148,113.53,1,26.42,1.204,3.688
223611.1111111111,173.91,0,51.42,1.716,2.236
126851.85185185184,84.36,1,28.43,1.858,5.806
129629.62962962962,127.74,0,38.1,2.094,11.726
166666.66666666666,78.04,1,23.41,1.672,9.667
256481.48148148146,134.15,1,40.25,1.95,14.092
70833.33333333333,121.33,0,20.29,8.632,10.98
217592.59259259258,150.97,0,43.84,0.876,2.147
160185.18518518517,74.14,1,22.24,1.609,5.411
146296.2962962963,120.96,0,36.29,2.187,3.852
134259.25925925924,122.07,0,36.62,4.997,4.748
212962.96296296295,93.37,1,27.17,1.996,10.331
192129.6296296296,80.27,1,24.08,1.61,7.211
203703.70370370368,149.02,0,44.7,1.213,11.592
214351.85185185182,89.47,1,26.84,1.265,1.223
89814.8148148148,81.94,0,0.0,4.867,13.723
162962.96296296295,128.39,0,37.96,2.821,12.487
255555.55555555553,137.68,1,41.3,0.94,11.397
139814.8148148148,112.6,0,14.1,2.054,12.821
120370.37037037036,86.03,0,25.81,3.315,1.59
67592.59259259258,70.98,0,18.95,4.667,13.627
162500.0,132.11,0,39.63,2.555,14.651
171296.2962962963,74.51,1,22.35,2.418,1.102
166203.70370370368,97.73,1,20.07,4.974,7.96
111574.07407407407,72.28,0,20.62,4.308,6.954
137037.03703703702,103.4,0,31.86,1.512,6.341
246296.2962962963,101.73,1,30.52,0.909,3.722
223611.1111111111,126.63,0,38.6,1.299,3.525
268518.5185185185,108.14,1,32.11,0.832,4.723
128703.7037037037,151.62,0,34.56,2.908,10.435
115277.77777777777,75.81,0,22.74,3.269,5.115
189814.8148148148,88.44,1,26.53,1.115,13.626
186111.1111111111,144.93,0,43.48,1.107,14.286
130555.55555555555,80.27,0,24.08,6.66,4.637
384535.18518518517,197.05,0,59.11,0.282,1.385
177777.77777777775,107.4,1,32.33,1.605,4.726
211574.07407407407,109.16,1,22.49,1.718,12.992
171296.2962962963,117.24,0,35.17,1.805,3.465
192129.6296296296,122.07,0,36.62,1.634,10.268
226481.48148148146,136.38,0,40.91,0.632,10.186
165925.92592592593,146.32,0,43.9,2.233,5.934
152500.0,58.06,1,17.42,1.905,3.373
147222.22222222222,100.8,1,25.42,2.769,9.63
81481.48148148147,79.71,0,23.91,5.277,6.184
112962.96296296295,83.61,0,24.58,3.847,11.834
142199.07407407407,64.85,1,19.45,1.915,2.277
215953.70370370368,100.24,1,30.07,0.502,6.653
125833.33333333333,86.96,1,21.74,4.542,1.301
121296.29629629629,106.65,1,21.4,4.274,12.741
217592.59259259258,136.38,1,22.16,1.262,0.52
154629.6296296296,152.73,0,39.47,2.612,7.985
131944.44444444444,93.18,0,27.95,2.328,14.83
140740.74074074073,84.54,1,25.36,3.855,12.068
221296.2962962963,90.58,1,27.17,1.01,5.977
162037.03703703702,96.71,1,19.57,1.613,14.018
146759.25925925924,107.02,0,30.44,2.825,4.615
145370.37037037036,124.12,0,32.47,4.808,9.142
247222.22222222222,112.41,1,28.65,0.773,9.055
189814.8148148148,143.16,0,42.95,1.835,11.093
138796.2962962963,83.06,0,24.92,4.165,5.04
273148.14814814815,155.61,1,40.97,1.148,6.567
283240.74074074073,185.81,0,55.74,0.564,5.544
208333.3333333333,104.24,1,19.51,1.308,11.837
82870.37037037036,96.15,1,8.89,2.848,14.214
76388.88888888889,79.99,0,24.0,7.388,5.759
333333.3333333333,180.6,0,52.84,0.458,11.833
153333.3333333333,64.75,1,19.43,2.848,9.648
122222.22222222222,90.3,0,27.09,1.815,4.457
111018.51851851851,73.67,1,22.1,3.499,13.497
347222.2222222222,189.15,0,59.53,1.103,2.367
164814.8148148148,77.3,1,20.29,1.78,3.96
174537.03703703702,66.52,1,19.96,1.884,2.078
240740.74074074073,107.12,1,23.55,1.406,2.13
249999.99999999997,101.08,1,30.32,0.81,9.617
240740.74074074073,127.46,1,37.54,1.155,12.618
173611.1111111111,136.75,0,38.24,1.93,12.685
317262.037037037,116.04,1,34.81,0.459,4.068
327777.77777777775,105.54,1,31.66,0.988,14.269
278703.7037037037,144.28,1,41.86,1.811,5.69
116828.7037037037,108.05,0,32.39,9.763,10.679
224074.07407407407,176.33,1,19.79,1.025,1.596
80555.55555555555,74.6,0,20.07,4.473,0.148
300000.0,159.7,0,47.91,0.666,10.652
134490.74074074073,128.48,0,38.55,2.896,13.472
198611.1111111111,134.24,1,23.52,2.703,1.696
72222.22222222222,55.37,1,16.61,4.728,8.128
110185.18518518518,160.54,0,48.16,4.621,13.06
128703.7037037037,98.11,0,29.43,3.534,11.445
262962.9629629629,151.34,0,89.35,0.894,6.242
191666.66666666666,126.16,0,37.85,1.108,14.706
177777.77777777775,87.61,1,26.28,2.808,6.648
211990.74074074073,150.41,1,41.78,4.717,1.554
349468.5185185185,178.56,0,53.57,0.267,14.491
198148.14814814815,142.7,0,42.81,1.817,14.197
187500.0,150.6,0,33.67,1.46,8.495
143518.5185185185,112.88,0,33.86,1.958,11.501
187870.37037037036,92.25,1,26.95,0.898,10.744
75925.92592592593,78.13,0,20.09,5.683,10.197
81018.51851851851,96.62,0,0.0,8.047,12.139
246296.2962962963,156.45,0,46.93,0.258,9.791
78703.7037037037,49.8,1,14.94,3.657,14.515
129814.8148148148,90.3,1,27.09,2.797,2.219
140277.77777777778,89.0,0,26.7,2.95,4.89
145833.3333333333,137.31,0,41.19,1.919,11.776
142592.59259259258,70.98,1,21.29,1.641,8.741
404772.2222222222,171.68,1,51.51,0.32,13.216
294500.9259259259,173.64,0,52.09,0.494,1.599
175925.92592592593,134.99,0,40.5,1.536,10.582
87962.96296296296,57.23,1,17.17,4.878,14.729
98055.55555555555,66.89,0,17.39,1.673,3.553
129629.62962962962,110.74,1,26.2,2.956,2.271
164351.85185185185,111.48,0,33.45,1.768,7.869
160185.18518518517,108.42,0,32.27,2.944,10.148
124074.07407407407,106.1,0,31.83,3.531,9.839
120370.37037037036,125.6,0,29.6,3.217,8.415
259259.25925925924,100.89,1,30.27,0.717,5.744
144444.44444444444,84.73,0,24.75,2.593,10.948
134259.25925925924,91.79,1,24.61,3.627,14.834
183796.2962962963,45.99,1,0.0,1.606,8.088
109259.25925925926,44.87,1,13.46,2.267,6.537
175925.92592592593,73.39,1,22.19,2.078,14.564
136111.1111111111,62.43,1,18.73,4.153,3.485
147222.22222222222,129.51,0,38.85,1.882,8.877
152777.77777777778,132.94,0,30.63,2.563,12.754
122222.22222222222,117.8,0,35.34,3.003,12.066
150000.0,119.57,0,29.63,4.851,11.469
159629.6296296296,88.54,1,26.56,2.308,10.541
124474.07407407407,104.05,1,0.0,7.158,10.9
115740.74074074073,69.86,0,20.74,2.613,14.522
113888.88888888888,122.54,0,16.95,4.341,1.022
203240.74074074073,78.69,1,23.61,1.364,6.93
56481.481481481474,83.98,0,19.04,12.21,7.309
137037.03703703702,84.91,0,24.25,4.328,11.051
314814.8148148148,146.79,1,44.04,0.665,5.024
365214.8148148148,172.43,0,51.73,0.294,3.769
165740.74074074073,93.55,1,27.37,2.772,2.172
117592.59259259258,95.32,1,28.6,4.44,9.906
173842.59259259258,120.87,0,36.04,1.3,8.401
197685.18518518517,87.24,1,26.17,1.309,13.247
70370.37037037036,72.84,0,21.85,2.113,7.619
222222.22222222222,100.24,1,44.04,2.104,10.41
177777.77777777775,117.89,0,35.01,0.648,9.989
75000.0,61.13,1,18.34,3.255,10.779
115740.74074074073,104.52,0,29.01,2.131,1.35
176851.85185185185,137.4,0,40.91,1.94,6.615
394444.44444444444,161.84,1,46.88,0.168,2.551
110185.18518518518,89.28,1,24.0,4.806,9.951
199074.07407407407,74.69,1,22.41,2.423,13.647
98611.11111111111,81.94,0,0.0,3.602,11.259
92592.59259259258,73.21,0,21.96,6.644,11.915
100925.92592592591,68.28,1,20.49,3.001,3.002
119444.44444444444,106.28,0,31.88,3.574,12.697
113888.88888888888,83.06,0,24.92,3.86,11.689
156944.44444444444,81.38,1,24.08,4.16,1.24
62037.03703703704,100.06,0,26.78,4.309,7.63
223148.14814814815,103.31,1,30.44,1.465,3.422
227314.8148148148,119.66,0,35.12,0.721,5.33
152768.5185185185,121.7,0,36.51,1.214,8.342
100000.0,62.43,0,18.73,3.946,6.44
238888.88888888888,108.23,1,31.8,0.951,6.448
155555.55555555553,74.88,1,22.46,2.694,10.956
138888.88888888888,150.5,0,35.7,5.509,11.354
106481.48148148147,108.32,0,29.65,1.627,2.625
163888.88888888888,78.04,1,23.41,2.273,8.989
259259.25925925924,99.5,1,29.63,1.633,11.887
314583.3333333333,97.55,1,28.82,0.668,1.451
55555.555555555555,118.54,0,35.56,4.637,11.458
134259.25925925924,98.11,0,29.43,4.502,1.286
205555.55555555553,137.31,0,40.97,1.673,6.993
106481.48148148147,95.5,0,28.09,3.449,13.146
211111.1111111111,100.34,1,30.1,1.199,1.284
167716.66666666666,124.49,0,37.35,1.024,2.042
138425.92592592593,62.43,1,18.73,1.867,10.381
221296.2962962963,127.28,1,38.18,2.213,10.534
116666.66666666666,70.23,1,21.07,4.699,8.267
131481.48148148146,98.11,0,29.43,3.146,3.279
191018.5185185185,124.86,0,37.46,1.414,9.619
199074.07407407407,148.83,0,44.65,2.445,14.091
104629.62962962962,91.79,0,27.54,3.389,14.258
291666.6666666666,136.57,1,40.97,0.848,6.134
128703.7037037037,111.11,0,33.33,2.242,14.41
124999.99999999999,65.68,1,18.14,1.244,5.903
254629.6296296296,152.73,0,42.31,1.656,4.898
100933.33333333333,84.26,0,25.28,5.017,6.91
180925.92592592593,112.23,0,33.67,1.751,14.79
162037.03703703702,131.18,0,38.8,2.655,6.418
79074.07407407407,44.87,1,13.46,1.66,5.072
73981.48148148147,101.08,1,25.11,2.138,11.086
113425.92592592591,71.07,1,21.32,3.352,9.908
167592.59259259258,86.03,1,25.81,2.937,11.622
75000.0,58.53,0,17.56,6.554,10.933
196296.2962962963,76.83,1,22.27,1.05,1.673
107407.4074074074,68.19,1,18.06,1.874,6.765
110185.18518518518,83.98,0,24.64,2.773,7.136
83657.4074074074,64.47,0,12.26,3.913,14.741
101851.85185185184,63.55,1,19.06,2.702,7.922
513888.8888888889,223.15,0,86.23,0.167,11.651
109259.25925925926,133.78,0,40.13,7.964,6.028
150833.3333333333,104.79,1,30.04,4.191,1.158
159722.22222222222,116.87,0,35.06,1.95,6.481
194444.44444444444,86.68,1,25.5,1.891,8.306
118055.55555555555,156.91,0,40.02,2.419,6.586
175925.92592592593,175.4,0,42.28,2.579,0.605
185092.59259259258,88.82,1,25.92,1.505,3.258
110648.14814814815,72.46,1,21.74,2.746,1.695
111111.11111111111,63.08,1,18.09,9.096,10.886
101851.85185185184,75.53,0,22.66,2.846,8.387
259259.25925925924,142.42,0,42.73,1.744,12.422
188888.88888888888,82.5,1,24.3,2.212,13.089
194444.44444444444,73.02,1,21.4,0.63,11.536
174074.07407407407,160.54,0,48.16,3.494,12.12
162500.0,115.39,0,34.62,1.638,13.641
90740.74074074073,57.97,1,17.39,4.532,13.795
237037.03703703702,154.5,0,38.02,6.564,12.482
149074.07407407407,77.39,1,16.39,0.813,13.543
101851.85185185184,90.95,1,19.76,3.549,5.874
243921.2962962963,77.3,1,23.19,0.539,2.995
143518.5185185185,53.42,1,15.61,1.286,11.786
57762.03703703704,80.27,0,24.08,3.543,12.38
174722.22222222222,78.87,1,19.93,1.98,12.891
114814.8148148148,96.62,0,28.99,4.08,11.45
165500.0,131.36,0,38.32,1.138,9.04
154629.6296296296,118.64,0,35.59,1.231,8.253
135648.14814814815,82.5,1,20.29,4.388,14.794
231481.48148148146,151.8,0,45.32,0.853,5.016
173148.14814814815,77.3,1,23.19,1.596,0.393
196296.2962962963,139.54,0,41.47,0.704,14.076
175925.92592592593,107.86,1,22.52,1.543,0.633
137037.03703703702,99.59,0,15.25,2.124,3.195
407407.40740740736,183.58,0,55.07,0.603,5.348
232407.4074074074,153.48,0,41.64,0.71,7.187
122685.18518518518,90.12,0,27.03,4.81,8.106
193425.92592592593,138.7,0,41.19,2.376,4.266
351851.85185185185,192.22,1,60.01,0.409,4.386
275000.0,159.61,0,47.52,0.928,3.051
82843.51851851851,105.07,0,25.28,7.297,7.591
301851.85185185185,171.87,0,51.09,0.314,2.983
346296.2962962963,166.48,0,49.94,0.202,5.937
143518.5185185185,85.1,1,25.36,1.352,3.413
151851.85185185185,112.97,0,33.89,2.63,9.863
122685.18518518518,92.81,0,27.84,4.707,9.682
136111.1111111111,103.4,0,31.02,4.907,4.216
144444.44444444444,99.68,0,29.91,3.838,14.989
162037.03703703702,137.87,0,41.36,4.495,4.98
148148.14814814815,164.07,1,26.59,4.092,13.694
79629.62962962962,58.53,0,17.56,6.81,5.196
106481.48148148147,57.23,1,7.36,3.441,8.86
123148.14814814815,89.0,1,22.46,1.829,13.77
159986.1111111111,67.63,1,20.29,2.154,9.097
143518.5185185185,117.89,0,35.37,3.058,5.74
84537.03703703704,82.31,0,5.3,3.672,14.373
32314.814814814814,66.89,0,20.07,7.037,9.719
398148.14814814815,299.89,0,89.19,0.702,8.849
170370.37037037036,105.26,1,28.6,1.165,7.747
120370.37037037036,83.52,0,24.08,3.935,4.966
111111.11111111111,84.73,0,25.42,3.255,6.711
104629.62962962962,62.43,1,18.73,2.433,11.284
209907.4074074074,80.45,1,24.14,1.027,10.938
129629.62962962962,112.78,0,33.84,3.788,11.99
267592.5925925926,167.32,0,41.83,1.564,11.19
136111.1111111111,79.43,1,23.83,1.541,14.887
115277.77777777777,89.19,1,26.76,4.285,12.985
199074.07407407407,98.94,1,21.66,0.568,4.875
192870.37037037036,113.16,0,33.95,2.193,14.96
149074.07407407407,64.01,1,19.2,1.05,6.961
115277.77777777777,96.71,0,29.01,3.758,9.12
152685.18518518517,126.63,0,28.09,3.423,13.163
187652.77777777775,127.09,0,38.13,1.327,2.75
120277.77777777777,80.27,0,24.08,4.522,10.238
124074.07407407407,100.34,0,30.21,2.069,7.536
89351.85185185184,73.3,0,21.4,4.504,3.805
373019.44444444444,187.66,0,55.91,0.183,1.863
146296.2962962963,128.02,1,19.2,1.878,10.972
245370.37037037036,118.64,1,35.23,1.082,8.71
195370.37037037036,81.94,1,22.13,1.529,7.364
216666.66666666666,118.54,1,35.56,1.539,9.942
98379.62962962962,64.47,1,0.0,8.0,5.275
138888.88888888888,115.57,0,34.67,2.025,10.792
147222.22222222222,93.27,1,27.98,2.475,10.67
171064.8148148148,291.53,1,87.46,0.178,1.644
292361.11111111107,128.48,1,38.43,1.652,7.418
162962.96296296295,117.62,0,35.03,1.754,9.095
122222.22222222222,86.21,0,25.86,4.899,8.687
413204.6296296296,137.12,1,40.47,0.26,8.959
79629.62962962962,56.21,0,14.72,5.061,1.635
185762.96296296295,233.65,0,56.72,1.729,11.922
162037.03703703702,140.19,0,40.72,1.689,13.722
118518.51851851851,69.77,1,17.03,2.504,3.139
99537.03703703704,76.83,0,0.0,4.128,11.396
36388.88888888888,31.03,0,0.0,12.654,8.995
164814.8148148148,65.68,1,19.7,0.85,11.371
99537.03703703704,76.18,1,31.13,4.534,1.225
174074.07407407407,81.75,1,24.53,1.168,1.489
