valor,area,dist_playa,dist_mercado,piscina
1090.0,76,0.575,0.348,1
1470.0,140,0.816,0.451,1
200.0,42,3.142,0.864,0
750.0,160,5.728,0.303,0
1400.0,92,0.537,0.841,1
189.0,70,5.974,0.366,0
1195.0,75,0.683,0.955,0
1350.0,374,0.753,0.799,1
1050.0,69,2.451,0.169,1
3300.0,140,0.502,0.103,1
350.0,30,0.37,0.611,0
600.0,91,7.726,0.297,0
399.0,58,6.18,0.746,0
388.44,36,2.094,0.357,1
350.0,59,4.451,0.196,1
790.0,30,0.364,0.821,0
140.0,50,14.38,0.425,0
2350.0,233,1.487,0.653,1
1600.0,80,0.443,0.611,1
280.0,65,8.54,0.309,0
2730.0,80,0.055,0.676,1
820.0,92,6.464,0.25,1
230.0,55,5.324,0.915,0
415.0,78,4.424,0.331,0
640.0,56,0.915,0.727,1
1800.0,190,0.002,0.272,1
390.0,60,5.214,0.117,0
465.0,83,8.409,0.797,0
199.9,48,7.808,0.45,1
3150.0,285,0.196,0.624,1
260.0,60,7.181,0.121,0
6500.0,300,0.118,0.352,1
1240.0,122,0.43,0.453,1
1830.0,135,0.369,0.265,1
890.0,87,0.645,0.442,1
15000.0,598,0.0,0.857,1
700.0,75,0.272,0.152,0
1120.0,111,1.228,0.657,1
260.0,75,5.21,0.663,0
364.9,67,3.898,0.553,1
700.0,110,6.913,0.127,0
640.0,102,6.119,0.183,0
350.0,63,4.058,0.42,0
1100.0,190,0.62,0.263,1
3800.0,170,0.013,0.821,1
1099.0,160,3.305,0.093,0
1200.0,216,1.082,0.555,1
5300.0,450,0.039,0.207,1
1550.0,249,1.262,0.334,1
4200.0,250,0.571,0.211,0
950.0,203,5.147,0.237,1
990.0,115,1.559,0.174,1
580.0,65,5.676,0.893,1
350.0,68,3.295,0.053,0
1850.0,107,0.724,0.322,1
385.0,70,7.913,0.662,0
2500.0,130,0.0,0.57,1
1050.0,80,0.348,0.556,1
170.0,50,9.468,0.712,0
750.0,280,0.704,0.16,0
2500.0,173,0.492,0.451,1
450.0,52,6.208,0.239,0
8000.0,372,1.342,0.631,1
270.0,50,5.263,0.919,0
850.0,138,1.166,0.135,0
225.0,32,4.27,0.563,1
449.0,97,7.908,0.386,1
4700.0,370,2.487,0.523,1
820.0,219,8.164,0.319,1
3990.0,513,0.173,0.842,1
589.0,166,9.564,0.237,0
4500.0,570,0.333,0.149,1
550.0,45,0.191,0.391,1
850.0,142,1.657,0.492,1
1550.0,70,0.183,0.444,1
380.0,85,7.519,0.15,0
540.0,106,5.652,0.029,0
1600.0,93,1.069,0.659,1
820.0,75,0.381,0.344,1
4680.0,490,6.027,0.011,0
580.0,50,2.129,0.878,0
165.0,26,1.234,0.418,0
320.0,67,6.613,0.013,0
380.0,45,2.192,0.501,0
900.0,95,0.597,0.525,1
400.0,66,3.095,0.962,0
850.0,110,0.349,0.968,1
949.99,106,4.411,0.173,1
900.0,89,0.942,0.201,1
632.0,128,7.653,0.575,0
670.0,88,1.63,0.884,0
495.0,64,6.617,0.665,0
2490.0,170,0.0,0.113,1
358.0,92,9.347,0.319,1
2700.0,150,0.372,0.901,1
1700.0,78,0.317,0.285,1
112.0,44,10.343,0.893,0
370.0,65,6.202,0.482,0
590.0,44,0.866,0.712,0
399.0,85,6.247,0.375,0
480.0,74,4.417,0.633,1
1790.0,110,0.376,0.67,1
370.0,65,6.354,0.68,1
1250.0,80,0.436,0.916,1
3150.0,190,1.899,0.869,1
278.0,62,7.32,0.988,0
690.0,140,7.63,0.954,0
850.0,100,0.501,0.601,1
2650.0,100,0.71,0.718,0
1799.99,170,1.643,0.967,1
450.0,33,0.338,0.142,0
509.9,85,7.874,0.471,0
1200.0,99,0.34,0.464,1
270.0,33,2.437,0.705,0
450.0,40,0.397,0.679,1
600.0,200,8.159,0.768,1
275.0,68,3.949,0.256,1
300.0,36,1.112,0.522,0
280.0,51,9.162,0.213,0
950.0,94,0.748,0.514,1
800.0,93,6.454,0.95,0
1400.0,111,0.611,0.885,1
352.0,66,8.151,0.543,1
680.0,54,0.377,0.793,1
359.9,65,4.002,0.693,0
3200.0,320,2.633,0.996,1
1995.0,175,0.51,0.165,1
2300.0,220,8.438,0.734,1
451.0,69,5.018,0.86,0
500.0,85,1.146,0.748,0
2200.0,215,1.048,0.458,1
1300.0,150,6.191,0.751,1
8600.0,317,2.569,0.477,1
240.0,50,7.696,0.416,0
1140.0,111,0.484,0.804,1
850.0,72,1.197,0.961,1
3200.0,207,2.122,0.196,0
740.0,63,0.847,0.28,0
495.0,68,0.769,0.109,1
549.0,82,6.829,0.181,0
690.0,43,0.545,0.141,0
1100.0,86,0.907,0.229,1
420.0,82,8.548,0.667,0
2750.0,308,0.514,0.67,1
5300.0,215,0.181,0.245,1
1150.0,92,0.555,0.116,1
450.0,67,4.597,0.073,1
3990.0,180,0.226,0.624,1
6350.0,344,0.138,0.063,1
256.0,46,9.186,0.672,0
489.0,130,7.818,0.844,0
290.0,75,6.476,0.85,0
880.0,102,1.146,0.553,1
1300.0,107,3.295,0.482,1
4000.0,466,1.585,0.183,1
4800.0,200,0.175,0.543,1
575.0,38,1.554,0.075,0
1900.0,130,1.117,0.432,0
970.0,93,5.246,0.171,1
680.0,75,0.45,0.138,0
4950.0,301,0.047,0.309,1
200.0,50,9.125,0.115,0
3500.0,339,0.506,0.621,1
750.0,66,0.017,0.754,0
330.0,64,7.908,0.99,0
1100.0,170,0.588,0.18,0
645.0,38,1.748,0.98,1
520.0,75,5.696,0.405,0
2150.0,200,0.135,0.552,0
998.0,185,6.522,0.945,1
240.0,65,7.518,0.026,0
990.0,100,0.146,0.811,1
2500.0,160,2.53,0.516,1
165.0,48,11.223,0.392,0
1380.0,117,0.815,0.141,0
720.0,130,6.169,0.908,0
575.0,84,5.699,0.985,0
2999.0,300,1.525,0.62,1
245.0,75,13.457,0.32,0
1590.0,133,0.091,0.659,1
829.0,148,1.829,0.437,1
1590.0,140,0.45,0.866,1
12000.0,492,2.705,0.176,1
1080.0,146,4.803,0.347,1
280.0,75,5.825,0.423,0
2200.0,100,0.11,0.308,0
1500.0,124,2.498,0.115,0
1300.0,70,0.469,0.126,1
205.0,47,5.324,0.113,1
550.0,92,7.899,0.097,0
300.0,100,9.454,0.052,0
670.0,77,0.735,0.233,0
1250.0,60,0.348,0.196,0
630.0,94,4.487,0.51,0
799.0,85,0.451,0.201,0
650.0,72,6.468,0.317,0
3190.0,380,2.242,0.951,1
416.7,63,4.616,0.449,0
490.0,43,0.144,0.629,1
1048.0,99,1.048,0.27,1
165.0,49,2.735,0.851,0
600.0,135,7.091,0.968,0
219.5,57,8.486,0.668,0
930.0,82,0.732,0.204,1
800.0,70,0.079,0.159,0
1179.99,143,5.12,0.883,1
350.0,59,8.177,0.538,0
1050.0,69,0.618,0.171,0
750.0,65,0.932,0.447,0
1400.0,120,0.364,0.436,0
685.0,40,0.478,0.164,1
1100.0,91,0.664,0.303,1
1450.0,194,0.848,0.491,1
1100.0,90,0.612,0.327,0
370.0,71,8.342,0.051,0
577.0,78,4.852,0.963,0
569.0,130,7.353,0.319,0
450.0,75,6.582,0.887,0
320.0,90,6.9,0.223,0
1722.23,72,0.285,0.141,1
290.0,77,8.505,0.547,0
550.0,70,0.949,0.408,0
600.0,95,1.177,0.391,0
1000.0,76,2.413,0.856,1
215.0,60,6.195,0.054,0
430.0,70,6.216,0.711,1
730.0,96,8.349,0.065,0
800.0,72,0.513,0.366,0
1890.0,175,0.565,0.137,0
2055.0,90,0.236,0.5,1
425.0,68,8.267,0.653,0
859.0,154,0.622,0.818,1
439.0,69,5.983,0.481,1
1400.0,109,0.354,0.77,1
630.0,100,6.894,0.185,0
760.0,75,7.699,0.955,0
850.0,76,1.105,0.553,1
674.5,73,6.746,0.647,0
895.0,118,1.289,0.598,1
2350.0,194,0.356,0.722,1
4200.0,390,0.084,0.212,1
2400.0,170,0.395,0.062,1
700.0,177,3.123,0.755,0
865.0,95,1.083,0.402,0
210.0,53,7.798,0.948,0
600.0,41,0.112,0.772,0
6600.0,280,0.108,0.902,0
155.0,40,5.859,0.716,0
450.0,92,7.778,0.705,0
519.0,72,1.512,0.327,0
1750.0,352,0.388,0.623,1
699.0,162,8.239,0.557,0
370.0,72,8.772,1.0,1
230.0,67,7.256,0.427,0
4600.0,292,1.641,0.339,0
1590.0,135,0.129,0.254,1
245.0,61,12.011,0.934,0
957.45,130,8.537,0.32,1
950.0,70,2.243,0.516,1
410.0,106,5.596,0.182,1
2180.0,190,0.316,0.008,1
1100.0,120,3.295,0.901,0
590.0,70,7.227,0.535,0
570.0,70,6.208,0.288,1
895.0,90,1.083,0.84,1
750.0,91,8.645,0.413,0
1390.0,130,1.147,0.082,1
595.0,40,0.558,0.151,0
1350.0,140,1.183,0.356,1
450.0,81,8.179,0.971,1
243.0,59,7.233,0.613,1
385.0,100,6.844,0.78,0
580.0,92,6.608,0.244,0
389.0,72,2.055,0.846,0
264.9,64,5.493,0.996,0
1050.0,100,0.719,0.183,1
690.0,65,0.73,0.958,0
789.0,206,7.898,0.638,1
4200.0,260,0.064,0.981,1
535.1,75,2.808,0.141,1
200.0,60,5.476,0.269,0
290.0,88,7.508,0.562,0
1695.0,171,4.739,0.032,1
480.0,63,4.449,0.952,0
455.0,83,5.042,0.21,0
590.0,140,4.491,0.553,1
520.0,90,7.463,0.618,1
1890.0,90,1.372,0.712,1
999.0,140,0.219,0.31,1
3650.0,173,2.676,0.821,1
3500.0,350,2.25,0.717,1
610.0,148,2.805,0.685,0
688.0,227,1.938,0.495,0
340.0,72,3.295,0.27,0
880.0,70,0.854,0.845,1
3400.0,131,0.013,0.077,1
550.0,170,6.108,0.298,0
530.0,120,1.067,0.822,0
355.0,64,4.766,0.094,0
1280.0,129,0.932,0.684,1
1200.0,120,1.126,0.213,1
740.0,62,0.34,0.336,1
235.0,50,5.075,0.789,0
1090.0,138,4.597,0.381,0
690.0,90,6.659,0.493,0
760.0,152,6.369,0.903,0
1780.0,180,0.14,0.474,1
655.0,60,6.393,0.387,0
7795.0,250,0.263,0.991,0
1300.0,110,0.51,0.742,1
810.0,91,0.523,1.0,0
1410.0,86,1.702,0.442,1
540.0,50,0.604,0.265,0
2800.0,280,0.567,0.528,0
3800.0,146,0.695,0.343,0
439.9,127,10.481,0.118,1
900.0,160,0.846,0.927,1
499.0,170,7.645,0.659,0
395.0,87,10.473,0.621,1
225.0,65,3.105,0.987,1
590.0,87,6.117,0.333,1
200.0,52,7.731,0.243,0
269.0,55,6.635,0.326,0
990.0,90,0.707,0.061,0
290.0,62,8.794,0.396,0
899.9,97,0.804,0.657,1
1800.0,85,0.571,0.404,1
850.0,82,1.679,0.488,1
610.0,70,4.579,0.014,0
3800.0,140,0.0,0.776,1
125.0,52,13.254,0.39,0
895.0,125,0.664,0.484,1
420.0,70,0.964,0.768,0
555.0,120,1.467,0.169,0
1080.0,95,0.123,0.024,0
595.0,41,0.124,0.315,0
840.0,138,0.195,0.242,1
860.0,75,0.13,0.758,1
715.0,89,4.455,0.146,1
360.0,70,1.87,0.813,0
3500.0,200,0.132,0.29,1
700.0,140,5.903,0.609,1
450.0,52,6.122,0.236,0
240.0,52,5.923,0.558,1
565.0,70,1.787,0.437,0
990.0,119,1.63,0.221,1
1370.0,95,2.268,0.402,0
400.0,100,6.758,0.444,1
1300.0,123,0.808,0.521,1
430.0,71,7.463,0.127,1
1650.0,170,1.554,0.39,0
1250.0,176,1.201,0.879,1
790.0,87,0.945,0.884,1
2400.0,130,1.123,0.037,1
590.0,57,2.471,0.393,0
2750.0,134,0.719,0.774,1
280.0,70,8.026,0.756,0
1600.0,120,0.29,0.367,1
550.0,55,0.199,0.849,0
660.0,60,0.896,0.207,1
320.0,74,4.154,0.9,0
1490.0,90,0.054,0.609,1
1045.0,193,13.17,0.83,1
330.0,63,2.988,0.783,1
10500.0,700,0.653,0.042,1
658.9,77,4.167,0.861,0
200.0,60,6.628,0.788,0
950.0,90,0.392,0.672,0
550.0,53,3.877,0.896,0
1050.0,114,4.999,0.038,1
570.0,61,1.173,0.204,0
1400.0,177,1.198,0.162,0
660.0,81,1.12,0.726,1
350.0,46,2.866,0.252,1
1650.0,169,0.531,0.396,1
600.0,94,5.849,0.13,0
1200.0,190,0.785,0.695,1
1150.0,114,0.604,0.55,1
435.0,41,0.088,0.915,0
320.0,63,6.768,0.802,0
500.0,42,0.397,0.44,1
550.0,84,1.109,0.896,1
840.0,78,1.261,0.47,1
6000.0,241,2.694,0.002,1
4900.0,296,0.018,0.136,1
1400.0,64,1.801,0.922,1
1690.0,158,0.757,0.893,1
699.0,103,7.874,0.575,1
499.2,81,2.031,0.291,0
224.0,45,9.457,0.757,0
2200.0,90,1.469,0.01,1
1600.0,151,0.592,0.315,1
1520.0,90,0.692,0.169,1
440.0,69,7.672,0.582,0
344.9,60,4.359,0.768,0
85.0,43,12.564,0.019,0
950.0,50,0.194,0.307,1
2600.0,158,0.724,0.879,1
1100.0,90,0.709,0.429,1
820.0,110,0.48,0.928,1
430.0,29,0.494,0.568,0
270.0,60,7.221,0.902,0
320.0,25,0.718,0.605,0
535.0,89,4.455,0.027,1
1300.0,300,0.558,0.54,1
599.0,86,6.043,0.608,1
320.0,55,6.114,0.902,1
3250.0,140,0.438,0.085,1
525.0,74,7.286,0.199,0
1250.0,220,0.945,0.914,1
1050.0,80,1.501,0.264,1
1450.0,135,1.196,0.069,1
1450.0,166,5.126,0.169,1
570.0,95,1.106,0.223,0
3000.0,263,0.035,0.235,1
770.0,104,0.592,0.533,0
6000.0,200,0.046,0.643,1
480.0,85,8.012,0.184,0
350.0,80,11.923,0.663,0
3045.0,160,0.698,0.179,1
543.0,41,0.28,0.454,0
525.0,76,4.671,0.352,0
195.0,67,8.425,0.903,0
670.0,80,5.924,0.632,0
1490.0,100,0.179,0.59,1
590.0,89,0.879,0.567,1
1950.0,220,0.036,0.362,1
1000.0,245,1.319,0.934,1
1150.0,93,1.089,0.342,1
450.0,88,6.689,0.736,0
1300.0,120,4.458,0.875,0
101.0,42,16.094,0.269,0
1950.0,135,2.145,0.051,1
299.0,60,5.866,0.413,0
1050.0,110,1.328,0.613,1
930.0,97,0.233,0.98,1
269.0,38,1.598,0.397,0
360.0,37,1.22,0.238,0
235.0,64,2.598,0.14,0
3200.0,153,0.724,0.807,1
560.0,85,3.095,0.885,0
140.0,40,10.005,0.845,0
4000.0,195,0.481,0.503,1
450.0,86,10.467,0.571,0
1499.99,104,1.764,0.625,1
510.0,94,7.983,0.378,0
155.0,51,7.691,1.0,0
1500.0,87,0.406,0.802,1
2400.0,195,1.853,0.063,1
300.0,25,0.565,0.26,1
350.0,77,7.437,0.333,0
740.0,116,0.806,0.134,1
500.0,78,5.8,0.761,0
310.0,55,3.79,0.596,0
2100.0,111,0.169,0.031,1
1300.0,189,0.359,0.436,1
870.0,109,1.103,0.297,1
2100.0,197,1.996,0.668,1
650.0,68,0.13,0.145,0
310.0,70,11.238,0.574,0
1150.0,75,0.372,0.604,0
4400.0,430,2.148,0.474,0
990.0,50,0.271,0.807,0
495.0,40,0.277,0.096,0
125.0,52,15.225,0.578,0
950.0,125,5.844,0.422,1
4900.0,290,0.16,0.918,0
917.0,90,0.376,0.926,1
570.0,71,8.342,0.743,1
999.99,116,0.363,0.525,1
710.0,125,6.014,0.964,0
4800.0,580,1.554,0.845,0
460.0,100,4.389,0.998,0
959.0,147,1.554,0.706,0
700.0,75,0.262,0.521,0
5500.0,170,0.048,0.203,1
1100.0,201,1.11,0.251,0
895.0,115,8.045,0.11,0
1300.0,137,1.319,0.229,0
3000.0,160,1.623,0.253,1
1722.24,72,0.285,0.186,1
450.0,141,7.672,0.862,0
1900.0,189,1.231,0.114,1
370.0,40,2.277,0.734,0
479.99,116,7.511,0.133,0
2200.0,225,0.137,0.304,1
410.0,73,7.449,0.417,0
750.0,91,8.369,0.786,0
285.0,65,5.392,0.24,1
1389.0,80,1.173,0.334,1
1330.0,143,5.12,0.819,0
210.0,55,9.206,0.736,0
750.0,80,0.277,0.507,1
460.0,92,7.429,0.961,0
2400.0,260,0.93,0.368,0
3100.0,129,2.455,0.609,1
850.0,110,4.813,0.083,1
649.0,57,0.051,0.042,0
563.0,84,7.093,0.442,0
490.0,60,5.251,0.142,0
280.0,70,4.514,0.932,0
350.0,63,8.109,0.562,0
2000.0,123,0.397,0.286,0
299.0,98,8.069,0.459,0
990.0,113,0.454,0.954,1
350.0,72,1.17,0.985,1
2100.0,179,1.387,0.888,1
1200.0,139,4.997,0.5,1
600.0,82,1.112,0.903,0
1575.0,132,1.28,0.808,1
2500.0,132,0.118,0.777,1
2100.0,105,0.118,0.458,1
200.0,62,6.214,0.294,0
2850.0,202,0.073,0.842,1
370.0,90,8.798,0.037,0
3000.0,462,1.417,0.5,1
360.0,80,9.116,0.426,0
1950.0,120,0.056,0.829,1
1500.0,154,0.524,0.816,0
1650.0,170,0.824,0.56,1
770.0,30,0.183,0.209,0
1240.0,75,0.347,0.87,1
295.0,59,7.147,0.647,0
580.0,73,0.308,0.247,0
1700.0,70,4.66,0.093,0
1370.0,116,0.381,0.434,1
750.0,52,0.0,0.986,0
660.0,66,0.843,0.745,0
615.2,77,4.167,0.072,0
469.9,70,0.964,0.429,0
629.0,56,0.386,0.896,0
470.0,90,6.331,0.521,0
165.0,45,9.627,0.434,0
2099.0,95,0.612,0.371,1
2850.0,160,0.82,0.884,1
1790.0,160,0.066,0.573,1
630.0,82,5.477,0.028,0
550.0,56,0.504,0.746,0
475.0,38,0.481,0.76,0
1950.0,125,1.827,0.483,0
500.0,48,0.376,0.402,0
2800.0,210,0.479,0.814,0
190.0,61,6.637,0.464,0
335.0,80,8.784,0.949,0
1850.0,184,0.424,0.256,0
800.0,60,0.371,0.639,1
980.0,115,0.735,0.277,0
537.9,74,1.717,0.244,0
1060.0,92,0.881,0.041,1
535.0,40,0.358,0.157,1
1400.0,105,0.289,0.76,0
790.0,74,0.261,0.624,0
270.0,70,8.074,0.44,1
270.0,50,2.233,0.519,1
299.0,70,6.22,0.562,1
165.0,53,6.502,0.275,0
1100.0,115,1.018,0.338,0
1890.0,98,0.081,0.671,1
700.0,70,0.145,0.285,1
700.0,140,6.17,0.557,0
480.0,72,6.381,0.245,0
1380.0,104,0.235,0.754,1
425.0,73,7.815,0.568,0
340.0,60,4.161,0.037,0
500.0,100,6.591,0.538,0
630.0,90,0.943,0.209,0
720.0,51,0.62,0.816,0
750.0,70,0.888,0.888,0
4200.0,145,0.377,0.226,0
950.0,115,1.432,0.33,1
375.0,76,7.368,0.399,0
680.0,129,7.338,0.827,0
3720.0,460,0.507,0.25,0
700.0,166,7.496,0.313,0
2290.0,96,0.661,0.918,1
900.0,96,1.585,0.125,0
2995.0,308,0.328,0.885,1
950.0,83,0.985,0.397,0
1200.0,120,0.219,0.078,0
1200.0,363,0.458,0.821,1
450.0,33,0.526,0.17,0
330.0,54,13.918,0.209,1
355.0,67,7.368,0.549,0
1500.0,154,0.516,0.895,1
540.0,85,7.791,0.132,0
4800.0,148,0.087,0.173,1
900.0,199,3.295,0.331,1
1740.0,171,3.295,0.643,1
2200.0,286,1.545,0.231,1
378.0,75,4.507,0.953,1
479.0,170,7.645,0.77,1
190.0,71,8.366,0.839,1
490.0,68,5.287,0.191,0
200.0,55,8.074,0.828,0
1370.0,73,0.057,0.882,1
1100.0,210,1.051,0.056,0
17995.0,756,0.038,0.787,0
670.0,140,1.412,0.017,0
1560.0,153,3.064,0.048,1
898.0,100,0.595,0.484,1
499.0,170,7.842,0.59,0
1150.0,66,0.279,0.648,1
4700.0,489,2.593,0.547,1
650.0,77,1.305,0.235,0
225.0,74,7.44,0.26,0
3350.0,120,0.502,0.385,1
1488.0,77,0.305,0.08,1
630.0,105,7.336,0.458,0
630.0,70,4.355,0.971,0
1890.0,200,0.626,0.173,1
1490.0,204,1.272,0.978,1
1200.0,75,0.105,0.047,1
270.0,60,6.493,0.334,0
749.0,85,0.404,0.14,0
190.0,119,10.441,0.081,0
600.0,94,4.385,0.521,0
1899.0,95,0.0,0.564,1
395.0,58,4.308,0.26,0
1650.0,146,0.146,0.796,1
1250.0,168,4.328,0.826,1
345.01,66,3.095,0.676,0
2300.0,230,0.83,0.34,1
986.0,95,2.263,0.388,1
1690.0,74,1.251,0.484,1
195.0,52,7.402,0.338,0
480.0,58,5.277,0.268,1
1071.9,108,2.263,0.718,1
550.0,84,1.061,0.398,0
465.0,76,1.554,0.715,0
850.0,89,0.043,0.99,1
590.0,84,2.926,0.296,0
1150.0,230,7.421,0.01,1
900.0,110,0.245,0.95,1
1260.0,130,3.064,0.616,1
730.0,103,0.113,0.73,0
845.0,140,6.421,0.529,1
1900.0,230,0.278,0.647,1
279.0,23,4.982,0.523,0
490.0,83,8.075,0.57,0
1650.0,170,0.459,0.459,1
1600.0,100,0.171,0.933,1
18000.0,526,0.0,0.703,1
1100.0,65,0.229,0.008,1
590.0,68,6.735,0.735,1
6200.0,153,0.127,0.709,0
880.0,120,6.636,0.295,1
2800.0,234,1.404,0.701,0
4299.0,200,2.474,0.112,1
549.0,57,0.017,0.924,0
750.0,78,2.562,0.543,0
945.0,110,0.42,0.183,1
1690.0,161,0.38,0.073,1
500.0,64,6.614,0.114,0
210.0,52,5.836,0.694,0
440.0,35,0.18,0.469,0
3600.0,43,0.072,0.543,1
1349.0,88,0.233,0.61,1
3407.0,338,2.353,0.851,1
750.0,65,0.932,0.602,0
830.0,40,0.12,0.449,1
720.0,70,1.636,0.645,0
280.0,57,8.305,0.828,0
155.0,47,5.793,0.904,0
290.0,51,7.656,0.905,1
1050.0,205,0.283,0.562,0
249.0,79,7.692,0.422,0
1400.0,140,4.922,0.83,1
3450.0,336,2.148,0.115,1
289.0,59,8.063,0.173,0
1650.0,160,2.374,0.512,1
950.0,180,5.8,0.493,1
180.0,39,8.895,0.758,0
690.0,100,1.197,0.087,0
1690.0,232,2.164,0.094,1
200.0,55,8.46,0.677,0
400.0,72,8.814,0.79,0
420.0,66,5.89,0.757,0
12000.0,370,0.081,0.946,1
1280.0,130,0.427,0.193,1
710.0,120,1.198,0.406,0
300.0,58,13.576,0.788,1
499.9,80,1.412,0.075,1
740.0,80,0.75,0.219,0
1550.0,90,0.881,0.342,0
620.0,70,6.102,0.418,1
500.0,90,5.292,0.997,1
5500.0,219,0.033,0.281,0
1300.0,107,0.041,0.429,1
650.0,61,2.234,0.98,1
1200.0,97,1.038,0.999,1
1050.0,192,1.19,0.659,1
1280.0,120,1.165,0.192,1
330.0,67,2.103,0.463,0
450.0,72,0.12,0.246,0
755.0,140,5.089,0.533,1
450.0,65,4.167,0.339,0
505.0,100,5.921,0.997,0
280.0,62,7.23,0.63,0
895.0,80,0.262,0.92,1
550.0,83,4.636,0.112,1
1250.0,187,6.352,0.593,1
2200.0,187,0.262,0.039,1
792.0,154,2.878,0.944,0
800.0,143,2.167,0.79,0
949.99,198,3.023,0.618,1
12000.0,246,0.009,0.051,1
690.0,118,4.901,0.377,0
3100.0,393,2.301,0.939,0
1800.0,178,0.288,0.064,1
700.0,98,4.847,0.807,0
620.0,62,0.377,0.302,1
1380.0,80,0.348,0.598,1
980.0,111,0.79,0.071,1
795.0,85,0.518,0.473,0
1600.0,213,0.497,0.284,0
1310.0,128,1.447,0.578,1
500.0,58,2.183,0.081,0
1900.0,200,0.754,0.683,1
750.0,88,0.976,0.62,0
550.0,86,4.132,0.028,0
2200.0,115,2.104,0.898,0
5800.0,200,0.112,0.937,1
670.0,70,1.254,0.175,0
400.0,31,0.389,0.322,0
950.0,180,7.198,0.785,0
